Start Date : 2025-01-18 12:22:38.057203 | End Date : 2025-01-18 12:38:34.350453 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-18 12:22:38.057203 | End Date : 2025-01-18 12:43:45.756073 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-18 12:22:38.057203 | End Date : 2025-01-18 12:48:57.319338 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-18 12:22:38.057203 | End Date : 2025-01-18 12:54:08.811812 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-18 12:22:38.057203 | End Date : 2025-01-18 12:59:20.308054 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-18 12:22:38.057203 | End Date : 2025-01-18 13:04:31.728733 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-18 12:22:38.057203 | End Date : 2025-01-18 13:09:43.372000 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-18 12:22:38.057203 | End Date : 2025-01-18 13:14:55.111622 | Cash : 490.01878876 | Assets_value : 9.86758 | Portfolio_change : -0.02%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 14:23:58.779919 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 14:29:10.907547 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 14:34:22.332044 | Cash : 500 | Assets_value : 0 | Portfolio_change : 0.00%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 14:39:33.942553 | Cash : 490.0762862 | Assets_value : 9.9302 | Portfolio_change : 0.00%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 14:44:45.475293 | Cash : 490.0762862 | Assets_value : 9.9302 | Portfolio_change : 0.00%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 14:49:56.912042 | Cash : 440.026525439 | Assets_value : 60.30171300000001 | Portfolio_change : 0.07%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 14:55:08.477525 | Cash : 440.026525439 | Assets_value : 60.12942 | Portfolio_change : 0.03%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 15:00:20.025559 | Cash : 440.026525439 | Assets_value : 60.38944000000001 | Portfolio_change : 0.08%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 15:05:31.575232 | Cash : 440.026525439 | Assets_value : 60.293513000000004 | Portfolio_change : 0.06%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 15:10:43.030771 | Cash : 430.024778684 | Assets_value : 70.21983700000001 | Portfolio_change : 0.05%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 15:15:55.014301 | Cash : 430.024778684 | Assets_value : 70.42351 | Portfolio_change : 0.09%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 15:21:06.605690 | Cash : 430.024778684 | Assets_value : 70.24097099999999 | Portfolio_change : 0.05%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 15:26:18.070084 | Cash : 430.024778684 | Assets_value : 70.397869 | Portfolio_change : 0.08%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 15:31:29.580271 | Cash : 420.01617608000004 | Assets_value : 80.481176 | Portfolio_change : 0.10%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 15:36:41.087638 | Cash : 430.16015794400005 | Assets_value : 69.908355 | Portfolio_change : 0.01%
Start Date : 2025-01-18 14:18:24.524559 | End Date : 2025-01-18 15:41:52.539691 | Cash : 430.16015794400005 | Assets_value : 69.709161 | Portfolio_change : -0.03%
