ALTUSDC: stepsize=1.0, ticksize=1e-05
SEIUSDC: stepsize=0.1, ticksize=0.0001
PYTHUSDT: stepsize=0.1, ticksize=0.0001
RONINUSDT: stepsize=0.01, ticksize=0.001
RONINTRY: stepsize=0.01, ticksize=0.01
DYMUSDT: stepsize=0.1, ticksize=0.001
DYMTRY: stepsize=0.1, ticksize=0.01
JUPUSDC: stepsize=0.1, ticksize=0.0001
PIXELUSDT: stepsize=0.1, ticksize=1e-05
STRKUSDT: stepsize=0.01, ticksize=0.0001
FILUSDC: stepsize=0.01, ticksize=0.001
WLDUSDC: stepsize=0.1, ticksize=0.001
COTITRY: stepsize=1.0, ticksize=0.001
UNIUSDC: stepsize=0.01, ticksize=0.001
PORTALUSDT: stepsize=0.1, ticksize=0.0001
PORTALTRY: stepsize=0.1, ticksize=0.001
AXLUSDT: stepsize=0.01, ticksize=0.0001
AXLTRY: stepsize=0.01, ticksize=0.01
PIXELUSDC: stepsize=0.1, ticksize=1e-05
STRKUSDC: stepsize=0.01, ticksize=0.0001
WIFUSDT: stepsize=0.01, ticksize=0.001
PEPEUSDC: stepsize=1.0, ticksize=1e-08
SHIBUSDC: stepsize=1.0, ticksize=1e-08
METISUSDT: stepsize=0.001, ticksize=0.01
METISTRY: stepsize=0.001, ticksize=1.0
NEARUSDC: stepsize=0.1, ticksize=0.001
SNXTRY: stepsize=0.1, ticksize=0.01
AEVOUSDT: stepsize=0.01, ticksize=0.0001
AEVOTRY: stepsize=0.01, ticksize=0.01
FETUSDC: stepsize=0.1, ticksize=0.001
BOMEUSDT: stepsize=1.0, ticksize=1e-06
ETHFIUSDT: stepsize=0.1, ticksize=0.001
BONKUSDC: stepsize=1.0, ticksize=1e-08
FLOKIUSDC: stepsize=1.0, ticksize=1e-08
ENAUSDT: stepsize=0.01, ticksize=0.0001
MASKTRY: stepsize=0.1, ticksize=0.01
PENDLEUSDC: stepsize=0.1, ticksize=0.001
RDNTTRY: stepsize=1.0, ticksize=0.001
WUSDT: stepsize=0.1, ticksize=0.0001
BOMEUSDC: stepsize=1.0, ticksize=1e-06
JTOUSDC: stepsize=0.1, ticksize=0.001
WIFUSDC: stepsize=0.01, ticksize=0.001
TNSRUSDT: stepsize=0.1, ticksize=0.0001
SAGAUSDT: stepsize=0.1, ticksize=0.0001
CKBUSDC: stepsize=1.0, ticksize=1e-06
ENAUSDC: stepsize=0.01, ticksize=0.0001
ETHFIUSDC: stepsize=0.1, ticksize=0.001
YGGUSDC: stepsize=0.1, ticksize=0.0001
TAOUSDT: stepsize=0.0001, ticksize=0.1
CFXUSDC: stepsize=1.0, ticksize=0.0001
RUNEUSDC: stepsize=0.1, ticksize=0.001
SAGAUSDC: stepsize=0.1, ticksize=0.0001
POLYXTRY: stepsize=0.1, ticksize=0.01
OMNIUSDT: stepsize=0.01, ticksize=0.01
APTUSDC: stepsize=0.01, ticksize=0.001
GALAUSDC: stepsize=1.0, ticksize=1e-05
STXUSDC: stepsize=0.1, ticksize=0.001
ICPUSDC: stepsize=0.01, ticksize=0.001
OMNIUSDC: stepsize=0.01, ticksize=0.01
REZUSDT: stepsize=0.1, ticksize=1e-05
PHBTRY: stepsize=0.1, ticksize=0.01
BBUSDT: stepsize=0.1, ticksize=0.0001
TRBUSDC: stepsize=0.001, ticksize=0.01
